duration_s,start_row,end_row,distance_m,distance_eligible_for_drift_ratio,baseline_error_m,baseline_drift_ratio,speed_diagnostic_error_m,speed_diagnostic_drift_ratio,phone_imu_error_m,phone_imu_drift_ratio
15,20697,20847,92.09869444444445,True,116.29177630240055,1.2626864800189952,9.939868842934974,0.1079262730367028,18.3414294377868,0.19914972246268564
15,20847,20997,62.57447222222223,True,75.49885336649533,1.2065439896700116,33.70588304773697,0.5386522946296128,4.404795128523097,0.07039284507075413
15,20997,21147,72.47108333333334,True,99.6520450345727,1.3750594092297412,20.33612485599152,0.280610195413456,39.74371202014567,0.5484078641041289
15,21147,21297,162.61475000000002,True,42.23985459543262,0.2597541403558571,24.344599452624937,0.14970720339098967,19.498946175039126,0.11990884083417479
15,21297,21447,125.93569444444445,True,149.0622247536598,1.1836376129201196,18.287568882885708,0.14521354698967517,16.806843753131115,0.13345575952293115
15,21447,21597,150.73691666666667,True,88.18435340506772,0.5850216082107804,12.96912585298893,0.08603815269532356,10.487767110677082,0.0695766328687039
15,21597,21747,137.39047222222223,True,22.78679966811214,0.16585429323843962,5.8387930647506785,0.04249780185125736,4.047421688243366,0.02945926033136318
15,21747,21897,153.0173333333333,True,105.8028563337376,0.6914436033416973,23.365111621443056,0.15269584897643226,27.189897205302334,0.1776916157993147
15,21897,22047,125.97497222222223,True,63.37212565140079,0.5030533012510704,34.13674749681436,0.2709803931259972,7.586996528609928,0.060226221087997724
15,22047,22197,116.52419444444445,True,34.63184372885831,0.29720732156934004,21.766561661055324,0.18679864524987577,13.22368834258286,0.11348448625308931
15,22197,22347,75.32761111111112,True,38.310360937753046,0.508583245541184,41.997971435086605,0.5575375458693093,18.117532138045714,0.24051648354176078
15,22347,22497,155.03008333333332,True,22.473698392577347,0.1449634671501543,28.95444412288715,0.1867666165193991,11.106554161000588,0.07164128356378524
15,22497,22647,134.21861111111113,True,29.127343675005836,0.21701419373869948,0.3455180340690783,0.002574293022470972,13.33291224629788,0.09933728367417245
15,22647,22797,131.51624999999999,True,23.27475356477589,0.17697245446685023,52.88493228867993,0.4021170941893487,3.099456707252115,0.02356710069859896
15,22797,22947,97.84744444444446,True,104.13363846518544,1.0642448462137417,2.1049724224240136,0.02151279917810392,15.012378838156923,0.15342637636980502
15,22947,23097,88.64916666666669,True,93.8067312486341,1.0581795043980569,33.0439693011894,0.372749914564221,23.64201379719014,0.2666918899089873
15,23097,23247,154.65900000000002,True,45.29925858950788,0.29289765606597656,27.64754594554664,0.17876454616638304,6.120556446478678,0.03957452489980329
15,23247,23397,128.84122222222223,True,71.5777392050359,0.5555499860252827,12.81639317723023,0.09947432161986809,17.955753687816937,0.1393634224987969
15,23397,23547,137.03713888888893,True,13.346934139408667,0.09739647403344062,24.71922520970708,0.18038340124533447,20.421661544397168,0.14902282483404192
15,23547,23697,119.54147222222224,True,67.73398459899732,0.5666149440847013,13.233624028559468,0.11070320435705154,15.513972053185,0.1297789943923831
15,23697,23847,130.3398888888889,True,26.216020684247503,0.2011358219477686,13.4227127062053,0.10298238567356602,2.4748556886939075,0.018987707522166546
15,23847,23997,86.14102777777778,True,88.47812176333963,1.0271310204423258,8.907575927912564,0.10340689167178123,13.761310824200528,0.1597532694838661
15,23997,24147,77.26552777777779,True,46.816629343962276,0.6059187155054564,13.4820212564345,0.17448947343257573,43.769116660454614,0.5664766412563479
15,24147,24297,0.9908611111111111,False,0.8574321287265669,,0.7750054506648518,,20.39882239650928,
15,24297,24447,55.299055555555555,True,52.34108365262073,0.9465095402947139,0.8800626424562082,0.015914605296867387,28.127017568510514,0.5086346825625807
15,24447,24597,83.6225,True,69.24714228872456,0.8280922274354936,14.995728643630134,0.17932648083506392,16.708242190363986,0.19980558091858036
15,24597,24747,151.55225000000002,True,9.194631937498267,0.06066971580757307,15.439999555354325,0.10187905197946136,3.0220596874119647,0.019940711453719524
15,24747,24897,167.15058333333332,True,0.7438600931634458,0.00445023928920447,2.2642647997718925,0.01354625724073289,17.49851253923227,0.10468711619352572
15,24897,25047,106.31308333333332,True,66.560445145609,0.6260795290539719,24.731689416639863,0.2326307227784589,27.690515622052466,0.26046197470570776
