duration_s,start_row,end_row,method,distance_m,endpoint_error_m,drift_percent,sequence
15,20697,20847,original_learned_speed,92.09869444444445,18.341429437786577,19.91497224626832,S1
15,20697,20847,constant_speed_with_gyro,92.09869444444445,41.53492006527745,45.09827236512244,S1
15,20697,20847,learned_speed_initial_offset,92.09869444444445,14.130312562420428,15.34257640421177,S1
15,20697,20847,learned_speed_preoutage_mean_offset,92.09869444444445,18.323111961257904,19.89508328189248,S1
15,20847,20997,original_learned_speed,62.57447222222223,4.4047951285236815,7.039284507076347,S1
15,20847,20997,constant_speed_with_gyro,62.57447222222223,32.61150514133564,52.11630874891221,S1
15,20847,20997,learned_speed_initial_offset,62.57447222222223,38.197093211340885,61.042613472936104,S1
15,20847,20997,learned_speed_preoutage_mean_offset,62.57447222222223,6.180764527612789,9.877453709338358,S1
15,20997,21147,original_learned_speed,72.47108333333334,39.74371202014573,54.840786410412974,S1
15,20997,21147,constant_speed_with_gyro,72.47108333333334,51.430523160358646,70.96695784690027,S1
15,20997,21147,learned_speed_initial_offset,72.47108333333334,26.987499749260618,37.238990377901004,S1
15,20997,21147,learned_speed_preoutage_mean_offset,72.47108333333334,41.167041281648316,56.804782525878686,S1
15,21147,21297,original_learned_speed,162.61475000000002,19.498946175040523,11.990884083418338,S1
15,21147,21297,constant_speed_with_gyro,162.61475000000002,43.12546350920513,26.52001956108233,S1
15,21147,21297,learned_speed_initial_offset,162.61475000000002,26.188400676102177,16.104566575973074,S1
15,21147,21297,learned_speed_preoutage_mean_offset,162.61475000000002,21.174203285676256,13.021084056443991,S1
15,21297,21447,original_learned_speed,125.93569444444445,16.806843753130245,13.345575952292425,S1
15,21297,21447,constant_speed_with_gyro,125.93569444444445,21.617132495856108,17.165214827470805,S1
15,21297,21447,learned_speed_initial_offset,125.93569444444445,28.153753160903268,22.355658008717356,S1
15,21297,21447,learned_speed_preoutage_mean_offset,125.93569444444445,16.808781481621637,13.347114617322969,S1
15,21447,21597,original_learned_speed,150.73691666666667,10.487767110675112,6.957663286869083,S1
15,21447,21597,constant_speed_with_gyro,150.73691666666667,14.135158254594169,9.377369901927919,S1
15,21447,21597,learned_speed_initial_offset,150.73691666666667,14.742782236118295,9.780472204244344,S1
15,21447,21597,learned_speed_preoutage_mean_offset,150.73691666666667,10.30388628553725,6.835675369639431,S1
15,21597,21747,original_learned_speed,137.39047222222223,4.0474216882408705,2.9459260331345014,S1
15,21597,21747,constant_speed_with_gyro,137.39047222222223,20.16336817732942,14.675958129553685,S1
15,21597,21747,learned_speed_initial_offset,137.39047222222223,7.193130054021555,5.235537761590212,S1
15,21597,21747,learned_speed_preoutage_mean_offset,137.39047222222223,4.135863925650731,3.0102989375865725,S1
15,21747,21897,original_learned_speed,153.0173333333333,27.18989720530739,17.769161579934774,S1
15,21747,21897,constant_speed_with_gyro,153.0173333333333,22.63576764275338,14.792943485326314,S1
