window_id,sequence,raw_start_row,raw_end_row,start_time_s,end_time_s,actual_duration_s,included,exclusion_reason,segment_index,local_bounds,calibration_raw_bounds,calibration_local_bounds,phone_span,reference_span,method,speed_profile,heading_profile,gyro_calibration_profile,predicted_east_m,predicted_north_m,truth_east_m,truth_north_m,distance_m,distance_eligible_for_drift_ratio,endpoint_error_m,drift_ratio,yaw_bias_rad_s,privileged_initial_position,privileged_initial_heading,privileged_initial_speed,reference_speed_oracle,reference_heading_oracle,pre_outage_vbox_yaw_calibration
S1:raw-21000-21600,S1,21000,21600,1567935769.0,1567935829.0,60.0,True,,0,"[20997,21597]","[19800,21000]","[19797,20997]","[0,51746]","[0,51746]",speed=reference_oracle|heading=reference_oracle|gyro=journey_prefix,reference_oracle,reference_oracle,journey_prefix,103.7048961029696,-354.3493957921769,104.92708707518159,-356.0127966388354,511.99336120353803,True,2.064134963906385,0.004031565876272775,,True,True,False,True,True,False
S1:raw-21000-21600,S1,21000,21600,1567935769.0,1567935829.0,60.0,True,,0,"[20997,21597]","[19800,21000]","[19797,20997]","[0,51746]","[0,51746]",constant_reference_initialized,,,,-451.8451345936773,167.90505885310893,104.92708707518159,-356.0127966388354,511.99336120353803,True,764.5163347668608,1.4932153279677678,,True,True,True,False,False,False
S1:raw-21600-22200,S1,21600,22200,1567935829.0,1567935889.0,60.0,True,,0,"[21597,22197]","[20400,21600]","[20397,21597]","[0,51746]","[0,51746]",speed=learned_raw|heading=phone_gyro|gyro=frozen_s1,learned_raw,phone_gyro,frozen_s1,326.82972693520134,-230.0928274527471,304.0504672664265,-249.1767111173117,532.1078610298368,True,29.716818247923314,0.05584735807212028,0.0025157186023042014,True,True,False,False,False,True
S1:raw-21600-22200,S1,21600,22200,1567935829.0,1567935889.0,60.0,True,,0,"[21597,22197]","[20400,21600]","[20397,21597]","[0,51746]","[0,51746]",speed=learned_raw|heading=phone_gyro|gyro=journey_prefix,learned_raw,phone_gyro,journey_prefix,325.79307906888675,-221.69007052360502,304.0504672664265,-249.1767111173117,532.1078610298368,True,35.046491680624584,0.06586351047848817,0.007165565328183811,True,True,False,False,False,True
S1:raw-21600-22200,S1,21600,22200,1567935829.0,1567935889.0,60.0,True,,0,"[21597,22197]","[20400,21600]","[20397,21597]","[0,51746]","[0,51746]",speed=learned_raw|heading=reference_oracle|gyro=frozen_s1,learned_raw,reference_oracle,frozen_s1,310.7862332502277,-236.07321138227138,304.0504672664265,-249.1767111173117,532.1078610298368,True,14.733371939061858,0.027688694375886537,,True,True,False,False,True,False
S1:raw-21600-22200,S1,21600,22200,1567935829.0,1567935889.0,60.0,True,,0,"[21597,22197]","[20400,21600]","[20397,21597]","[0,51746]","[0,51746]",speed=learned_raw|heading=reference_oracle|gyro=journey_prefix,learned_raw,reference_oracle,journey_prefix,310.7862332502277,-236.07321138227138,304.0504672664265,-249.1767111173117,532.1078610298368,True,14.733371939061858,0.027688694375886537,,True,True,False,False,True,False
S1:raw-21600-22200,S1,21600,22200,1567935829.0,1567935889.0,60.0,True,,0,"[21597,22197]","[20400,21600]","[20397,21597]","[0,51746]","[0,51746]",speed=learned_initial_offset|heading=phone_gyro|gyro=frozen_s1,learned_initial_offset,phone_gyro,frozen_s1,361.1772441546258,-257.3240493435167,304.0504672664265,-249.1767111173117,532.1078610298368,True,57.704833054140984,0.10844574433172169,0.0025157186023042014,True,True,True,False,False,True
S1:raw-21600-22200,S1,21600,22200,1567935829.0,1567935889.0,60.0,True,,0,"[21597,22197]","[20400,21600]","[20397,21597]","[0,51746]","[0,51746]",speed=learned_initial_offset|heading=phone_gyro|gyro=journey_prefix,learned_initial_offset,phone_gyro,journey_prefix,359.9973777284953,-248.06354410619969,304.0504672664265,-249.1767111173117,532.1078610298368,True,55.9579836220478,0.10516285836060985,0.007165565328183811,True,True,True,False,False,True
S1:raw-21600-22200,S1,21600,22200,1567935829.0,1567935889.0,60.0,True,,0,"[21597,22197]","[20400,21600]","[20397,21597]","[0,51746]","[0,51746]",speed=learned_initial_offset|heading=reference_oracle|gyro=frozen_s1,learned_initial_offset,reference_oracle,frozen_s1,342.9935571534654,-263.994208367315,304.0504672664265,-249.1767111173117,532.1078610298368,True,41.66680302955639,0.07830518224052324,,True,True,True,False,True,False
S1:raw-21600-22200,S1,21600,22200,1567935829.0,1567935889.0,60.0,True,,0,"[21597,22197]","[20400,21600]","[20397,21597]","[0,51746]","[0,51746]",speed=learned_initial_offset|heading=reference_oracle|gyro=journey_prefix,learned_initial_offset,reference_oracle,journey_prefix,342.9935571534654,-263.994208367315,304.0504672664265,-249.1767111173117,532.1078610298368,True,41.66680302955639,0.07830518224052324,,True,True,True,False,True,False
S1:raw-21600-22200,S1,21600,22200,1567935829.0,1567935889.0,60.0,True,,0,"[21597,22197]","[20400,21600]","[20397,21597]","[0,51746]","[0,51746]",speed=reference_oracle|heading=phone_gyro|gyro=frozen_s1,reference_oracle,phone_gyro,frozen_s1,323.8001512514347,-244.90837238539515,304.0504672664265,-249.1767111173117,532.1078610298368,True,20.205660915646128,0.037972866772801046,0.0025157186023042014,True,True,False,True,False,True
S1:raw-21600-22200,S1,21600,22200,1567935829.0,1567935889.0,60.0,True,,0,"[21597,22197]","[20400,21600]","[20397,21597]","[0,51746]","[0,51746]",speed=reference_oracle|heading=phone_gyro|gyro=journey_prefix,reference_oracle,phone_gyro,journey_prefix,322.1725987060867,-235.96924783973145,304.0504672664265,-249.1767111173117,532.1078610298368,True,22.424288932872592,0.042142374836321383,0.007165565328183811,True,True,False,True,False,True
